"","status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"2007","900521251768213505","1503535971","25073877","realDonaldTrump","Donald E. Ballard, on behalf of the people of the United States, THANK YOU for your courageous service. YOU INSPIRE US ALL! #ALConv2017 https://t.co/46m20cJkLB","Media Studio",NA,NA,NA,"FALSE","FALSE","57226","12076","ALConv2017",NA,NA,NA,NA,"http://pbs.twimg.com/amplify_video_thumb/900516668425854976/img/724nSvjPhS3QP1U6.jpg","https://t.co/46m20cJkLB","https://twitter.com/realDonaldTrump/status/900521251768213505/video/1","photo","http://pbs.twimg.com/amplify_video_thumb/900516668425854976/img/724nSvjPhS3QP1U6.jpg","https://t.co/46m20cJkLB","https://twitter.com/realDonaldTrump/status/900521251768213505/video/1","NA",NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
"2008","900488148194516992","1503528079","25073877","realDonaldTrump","A great honor to sign the Veterans Appeals Improvement &amp; Modernization Act into law w/ @AmericanLegion @SecShulkin.
🎥https://t.co/fr2sf9oRvd https://t.co/bICsRm1tQx","Twitter for iPhone",NA,NA,NA,"FALSE","FALSE","47506","10646",NA,NA,"45.wh.gov/9y3Pcw","https://t.co/fr2sf9oRvd","http://45.wh.gov/9y3Pcw","http://pbs.twimg.com/media/DH8s4G9XcAAEK6A.jpg","https://t.co/bICsRm1tQx","https://twitter.com/realDonaldTrump/status/900488148194516992/photo/1","photo","c(""http://pbs.twimg.com/media/DH8s4G9XcAAEK6A.jpg"", ""http://pbs.twimg.com/media/DH8s4G2XkAEmDB9.jpg"", ""http://pbs.twimg.com/media/DH8s4G6W0AE3iZj.jpg"", ""http://pbs.twimg.com/media/DH8s4G4XgAEXzhY.jpg"")","c(""https://t.co/bICsRm1tQx"", ""https://t.co/bICsRm1tQx"", ""https://t.co/bICsRm1tQx"", ""https://t.co/bICsRm1tQx"")","c(""https://twitter.com/realDonaldTrump/status/900488148194516992/photo/1"", ""https://twitter.com/realDonaldTrump/status/900488148194516992/photo/1"", ""https://twitter.com/realDonaldTrump/status/900488148194516992/photo/1"", ""https://twitter.com/realDonaldTrump/status/900488148194516992/photo/1"")","NA","c(""27048645"", ""831482588246196225"")","c(""AmericanLegion"", ""SecShulkin"")","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
"2009","900435023517499392","1503515413","25073877","realDonaldTrump","As long as we have faith in each other and confidence in our values, then there is no challenge too great for us to conquer! #ALConv2017 https://t.co/tsIAgHbFM7","Twitter for iPhone",NA,NA,NA,"FALSE","FALSE","70236","16520","ALConv2017",NA,NA,NA,NA,"http://pbs.twimg.com/ext_tw_video_thumb/900433225482465281/pu/img/02cdB-9kGx-JYSpQ.jpg","https://t.co/tsIAgHbFM7","https://twitter.com/realDonaldTrump/status/900435023517499392/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/900433225482465281/pu/img/02cdB-9kGx-JYSpQ.jpg","https://t.co/tsIAgHbFM7","https://twitter.com/realDonaldTrump/status/900435023517499392/video/1","NA",NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
"2010","900354657133801474","1503496252","25073877","realDonaldTrump","If Republican Senate doesn't get rid of the Filibuster Rule &amp; go to a simple majority, which the Dems would do, they are just wasting time!","Twitter for iPhone",NA,NA,NA,"FALSE","FALSE","77629","19062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
"2011","900352052068401154","1503495631","25073877","realDonaldTrump","Last night in Phoenix I read the things from my statements on Charlottesville that the Fake News Media didn't cover fairly. People got it!","Twitter for iPhone",NA,NA,NA,"FALSE","FALSE","87005","18656",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
"2012","900346953120141312","1503494415","25073877","realDonaldTrump","Phoenix crowd last night was amazing - a packed house. I love the Great State of Arizona. Not a fan of Jeff Flake, weak on crime &amp; border!","Twitter for iPhone",NA,NA,NA,"FALSE","FALSE","92143","19115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
"2013","900251514324647936","1503471661","25073877","realDonaldTrump","MAKE AMERICA GREAT AGAIN! https://t.co/RzePiucV3h","Media Studio",NA,NA,NA,"FALSE","FALSE","65691","15317",NA,NA,NA,NA,NA,"http://pbs.twimg.com/amplify_video_thumb/900248598616580096/img/WGIlN0eaO2nwKmA1.jpg","https://t.co/RzePiucV3h","https://twitter.com/realDonaldTrump/status/900251514324647936/video/1","photo","http://pbs.twimg.com/amplify_video_thumb/900248598616580096/img/WGIlN0eaO2nwKmA1.jpg","https://t.co/RzePiucV3h","https://twitter.com/realDonaldTrump/status/900251514324647936/video/1","NA",NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
"2014","900236323893673984","1503468039","25073877","realDonaldTrump","#DrainTheSwamp #PhoenixRally https://t.co/o7S6xoCBiC","Twitter for iPhone",NA,NA,NA,"FALSE","FALSE","49599","10647","c(""DrainTheSwamp"", ""PhoenixRally"")",NA,NA,NA,NA,"http://pbs.twimg.com/ext_tw_video_thumb/900236128158199808/pu/img/0F7nn-EjE4oJJmBD.jpg","https://t.co/o7S6xoCBiC","https://twitter.com/realDonaldTrump/status/900236323893673984/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/900236128158199808/pu/img/0F7nn-EjE4oJJmBD.jpg","https://t.co/o7S6xoCBiC","https://twitter.com/realDonaldTrump/status/900236323893673984/video/1","NA",NA,NA,"und",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
"2015","900229323801735168","1503466370","25073877","realDonaldTrump","Not only does the media give a platform to hate groups, but the media turns a blind eye to the gang violence on our streets! https://t.co/Mau0B1qYIP","Twitter for iPhone",NA,NA,NA,"FALSE","FALSE","94205","26425",NA,NA,NA,NA,NA,"http://pbs.twimg.com/ext_tw_video_thumb/900229089059106819/pu/img/CMsOyBS1HVEFVHIW.jpg","https://t.co/Mau0B1qYIP","https://twitter.com/realDonaldTrump/status/900229323801735168/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/900229089059106819/pu/img/CMsOyBS1HVEFVHIW.jpg","https://t.co/Mau0B1qYIP","https://twitter.com/realDonaldTrump/status/900229323801735168/video/1","NA",NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
"2016","900225712522657792","1503465509","25073877","realDonaldTrump","Thank you Arizona. Beautiful turnout of 15,000 in Phoenix tonight! Full coverage of rally via my Facebook at: https://t.co/s0D12EFs40 https://t.co/WT4D9Vsen1","Twitter for iPhone",NA,NA,NA,"FALSE","FALSE","55730","12504",NA,NA,"facebook.com/DonaldTrump/vi…","https://t.co/s0D12EFs40","https://www.facebook.com/DonaldTrump/videos/10159709733805725/","http://pbs.twimg.com/ext_tw_video_thumb/900225365314084865/pu/img/K1Zvz_70K83kKbBA.jpg","https://t.co/WT4D9Vsen1","https://twitter.com/realDonaldTrump/status/900225712522657792/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/900225365314084865/pu/img/K1Zvz_70K83kKbBA.jpg","https://t.co/WT4D9Vsen1","https://twitter.com/realDonaldTrump/status/900225712522657792/video/1","NA",NA,NA,"en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)"
